index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color,sleep_duration,class_size,female_ratio
14,0,Yes,Arts,Auditory,G0JBVS,Female,Yes,75.0,14.0,2.0,15.0,15.0,98.0,22:30,6:30,private transport,white,8.0,16.0,0.125
15,0,No,Clubs,Auditory,VRSYQL,Male,No,63.0,17.0,4.0,15.0,9.0,100.0,22:30,6:30,private transport,blue,8.0,21.0,0.19047619047619047
16,2,No,Clubs,Auditory,W087TC,Female,No,42.0,5.0,19.0,15.0,13.0,96.0,21:30,5:30,public transport,green,8.0,24.0,0.7916666666666666
17,1,No,None,Auditory,FALLVI,Female,Yes,70.0,26.0,2.0,15.0,10.0,100.0,22:30,6:30,private transport,black,8.0,28.0,0.07142857142857142
18,1,No,Clubs,Auditory,H014YN,Male,Yes,56.0,11.0,13.0,15.0,5.0,93.0,23:00,7:00,walk,yellow,8.0,24.0,0.5416666666666666
19,1,No,Arts,Visual,ZQ3KFP,Male,Yes,79.0,25.0,0.0,15.0,8.0,96.0,22:00,6:00,private transport,red,8.0,25.0,0.0
20,1,No,Arts,Visual,QTPHGL,Female,Yes,59.0,1.0,27.0,15.0,9.0,92.0,23:30,6:30,private transport,red,7.0,28.0,0.9642857142857143
21,0,No,None,Visual,HJ6Y5P,Male,Yes,86.0,17.0,6.0,16.0,8.0,91.0,23:30,6:30,private transport,red,7.0,23.0,0.2608695652173913
22,0,Yes,Clubs,Visual,U9YNGY,Female,No,69.0,17.0,2.0,15.0,12.0,95.0,23:00,7:00,walk,yellow,8.0,19.0,0.10526315789473684
23,0,No,Clubs,Auditory,586QHN,Male,Y,95.0,12.0,13.0,15.0,9.0,97.0,22:00,6:00,private transport,white,8.0,25.0,0.52
24,0,No,Arts,Visual,PQ059G,Male,No,77.0,23.0,4.0,15.0,6.0,93.0,21:00,5:00,public transport,red,8.0,27.0,0.14814814814814814
25,1,No,Clubs,Auditory,MQQL0R,Female,No,54.0,20.0,5.0,15.0,18.0,95.0,23:00,7:00,walk,yellow,8.0,25.0,0.2
26,2,Yes,Arts,Visual,7QPRBM,Female,No,74.0,6.0,9.0,15.0,11.0,96.0,21:30,5:30,public transport,blue,8.0,15.0,0.6
27,2,No,Clubs,Auditory,GSTYQJ,Female,No,39.0,15.0,9.0,16.0,12.0,81.0,22:00,5:00,public transport,white,7.0,24.0,0.375
28,1,No,Arts,Visual,OF3DU8,Male,Yes,70.0,10.0,14.0,16.0,17.0,95.0,21:00,5:00,public transport,yellow,8.0,24.0,0.5833333333333334
29,1,Yes,None,Auditory,ZGU81D,Male,Yes,88.0,17.0,0.0,15.0,6.0,94.0,21:00,5:00,public transport,black,8.0,17.0,0.0
31,2,No,None,Visual,JK9O0T,Female,Yes,69.0,3.0,16.0,15.0,14.0,92.0,21:30,5:30,public transport,black,8.0,19.0,0.8421052631578947
32,1,No,Clubs,Visual,J5LN4C,Female,No,78.0,18.0,7.0,16.0,8.0,98.0,22:30,6:30,private transport,green,8.0,25.0,0.28
33,1,No,Arts,Visual,6OAS7F,Male,Yes,60.0,16.0,12.0,16.0,9.0,91.0,21:30,5:30,public transport,yellow,8.0,28.0,0.42857142857142855
34,0,Yes,Sports,Visual,9KCAKQ,Male,No,78.0,11.0,9.0,15.0,5.0,97.0,21:30,5:30,public transport,white,8.0,20.0,0.45
35,1,No,Clubs,Visual,9C81UP,Male,No,66.0,15.0,7.0,16.0,7.0,96.0,21:30,5:30,public transport,green,8.0,22.0,0.3181818181818182
36,2,No,Arts,Auditory,GJITFO,Female,Yes,58.0,17.0,1.0,15.0,9.0,92.0,22:00,6:00,private transport,white,8.0,18.0,0.05555555555555555
37,2,No,Sports,Visual,3LU16S,Female,No,45.0,16.0,8.0,15.0,5.0,87.0,21:00,5:00,public transport,black,8.0,24.0,0.3333333333333333
38,1,No,Arts,Auditory,PSU5GT,Male,N,53.0,21.0,9.0,16.0,10.0,97.0,21:00,5:00,public transport,green,8.0,30.0,0.3
39,2,No,Arts,Auditory,OR5ZSX,Male,No,42.0,10.0,12.0,15.0,11.0,55.0,1:00,6:00,private transport,green,5.0,22.0,0.5454545454545454
40,1,No,Arts,Visual,2HD89P,Male,Yes,71.0,10.0,15.0,15.0,15.0,91.0,22:30,5:30,public transport,yellow,7.0,25.0,0.6
41,1,Yes,None,Visual,ALOPZS,Female,Yes,92.0,2.0,19.0,15.0,10.0,95.0,22:30,6:30,private transport,black,8.0,21.0,0.9047619047619048
42,1,No,None,Auditory,1GNS79,Male,Yes,62.0,11.0,17.0,16.0,5.0,97.0,21:00,5:00,public transport,red,8.0,28.0,0.6071428571428571
43,0,No,Arts,Auditory,QBSKYM,Female,Yes,75.0,16.0,7.0,15.0,8.0,97.0,21:00,5:00,public transport,yellow,8.0,23.0,0.30434782608695654
44,0,No,Clubs,Visual,EIEGC8,Female,Yes,81.0,8.0,19.0,15.0,10.0,98.0,22:30,6:30,private transport,blue,8.0,27.0,0.7037037037037037
45,1,Yes,Arts,Visual,PRPPV8,Female,Yes,49.0,30.0,0.0,16.0,1.0,64.0,0:30,6:30,private transport,white,6.0,30.0,0.0
46,0,Yes,None,Visual,RAJ8CB,Male,No,82.0,12.0,5.0,15.0,5.0,93.0,21:30,5:30,public transport,green,8.0,17.0,0.29411764705882354
47,2,No,Sports,Auditory,M7KDZO,Female,Yes,79.0,6.0,15.0,16.0,9.0,99.0,21:30,5:30,public transport,white,8.0,21.0,0.7142857142857143
48,0,Yes,Sports,Visual,GA61X8,Male,No,77.0,11.0,7.0,15.0,9.0,96.0,22:00,6:00,private transport,green,8.0,18.0,0.3888888888888889
49,1,No,Arts,Visual,Q6DZRI,Male,No,45.0,23.0,7.0,15.0,14.0,94.0,22:30,6:30,private transport,white,8.0,30.0,0.23333333333333334
50,1,No,Arts,Auditory,5F320K,Female,No,48.0,14.0,10.0,15.0,8.0,74.0,22:00,5:00,public transport,red,7.0,24.0,0.4166666666666667
52,2,No,Sports,Auditory,6ENKHB,Male,Yes,58.0,16.0,4.0,16.0,19.0,91.0,21:00,5:00,public transport,black,8.0,20.0,0.2
53,0,No,Arts,Auditory,1CVO8I,Female,Yes,63.0,12.0,15.0,16.0,8.0,98.0,22:30,6:30,private transport,red,8.0,27.0,0.5555555555555556
54,2,Yes,Arts,Visual,QLG7M4,Female,No,78.0,6.0,8.0,15.0,7.0,98.0,21:00,5:00,public transport,yellow,8.0,14.0,0.5714285714285714
55,2,No,None,Visual,DC520G,Female,No,69.0,15.0,7.0,16.0,5.0,96.0,21:30,5:30,public transport,blue,8.0,22.0,0.3181818181818182
56,2,No,Sports,Auditory,1SU69Y,Female,Yes,54.0,10.0,8.0,16.0,16.0,95.0,21:00,5:00,public transport,red,8.0,18.0,0.4444444444444444
57,1,Yes,None,Visual,OPWOR2,Female,Yes,95.0,1.0,20.0,15.0,9.0,92.0,22:00,6:00,private transport,green,8.0,21.0,0.9523809523809523
58,1,No,Clubs,Visual,GF3FCX,Male,No,51.0,19.0,11.0,15.0,18.0,,22:30,6:30,private transport,black,8.0,30.0,0.36666666666666664
59,2,No,Sports,Auditory,OL7HET,Female,Yes,60.0,8.0,12.0,15.0,16.0,94.0,23:00,7:00,walk,green,8.0,20.0,0.6
60,2,No,Arts,Auditory,1B3QSS,Female,Yes,40.0,3.0,19.0,,5.0,98.0,22:00,6:00,private transport,blue,8.0,22.0,0.8636363636363636
61,1,No,Sports,Auditory,D8YD78,Female,Yes,57.0,24.0,6.0,,11.0,95.0,21:30,5:30,public transport,white,8.0,30.0,0.2
62,0,Yes,None,Auditory,68GQ7S,Male,Yes,85.0,12.0,9.0,16.0,8.0,,23:00,7:00,walk,red,8.0,21.0,0.42857142857142855
63,1,Yes,None,Auditory,JMO689,Female,Yes,65.0,17.0,2.0,15.0,16.0,99.0,21:30,5:30,public transport,red,8.0,19.0,0.10526315789473684
64,1,Yes,Sports,Auditory,HLUIH1,Female,Yes,55.0,13.0,12.0,16.0,8.0,91.0,22:00,6:00,private transport,white,8.0,25.0,0.48
65,1,Yes,None,Visual,SI2A4J,Female,Yes,92.0,21.0,0.0,15.0,9.0,91.0,22:00,6:00,private transport,yellow,8.0,21.0,0.0
66,1,No,Clubs,Auditory,25EIBZ,Male,No,50.0,15.0,15.0,16.0,5.0,92.0,23:00,7:00,walk,blue,8.0,30.0,0.5
67,0,No,Sports,Auditory,7XH8AD,Female,Yes,55.0,8.0,14.0,16.0,7.0,96.0,21:30,5:30,public transport,yellow,8.0,22.0,0.6363636363636364
68,0,No,None,Auditory,92X86W,Male,Yes,94.0,10.0,15.0,16.0,7.0,92.0,21:00,5:00,public transport,red,8.0,25.0,0.6
69,1,No,Sports,Auditory,3T7YQD,Female,Yes,60.0,3.0,21.0,15.0,17.0,91.0,21:00,5:00,public transport,black,8.0,24.0,0.875
70,1,Yes,Clubs,Auditory,QI04T7,Female,No,56.0,15.0,10.0,16.0,7.0,91.0,21:00,5:00,public transport,yellow,8.0,25.0,0.4
71,1,Yes,None,Auditory,903WGD,Male,No,76.0,11.0,6.0,16.0,3.0,93.0,22:30,6:30,private transport,black,8.0,17.0,0.35294117647058826
72,0,Yes,None,Auditory,OB3KOP,Male,No,79.0,13.0,7.0,15.0,6.0,91.0,22:00,6:00,private transport,black,8.0,20.0,0.35
73,1,No,Clubs,Visual,V8PSZ4,Male,No,53.0,30.0,0.0,16.0,7.0,96.0,21:00,5:00,public transport,green,8.0,30.0,0.0
74,1,No,Clubs,Auditory,RARLB8,Male,Yes,48.0,10.0,20.0,15.0,6.0,97.0,22:00,6:00,private transport,red,8.0,30.0,0.6666666666666666
75,2,Yes,Sports,Visual,3PKA6K,Male,No,72.0,11.0,9.0,15.0,8.0,90.0,22:00,6:00,private transport,black,8.0,20.0,0.45
76,0,Yes,Sports,Visual,9AO05A,Female,No,49.0,12.0,8.0,16.0,14.0,55.0,1:30,6:30,private transport,blue,5.0,20.0,0.4
77,1,No,Arts,Auditory,7XMIUL,Male,Yes,58.0,14.0,8.0,15.0,15.0,98.0,22:30,6:30,private transport,black,8.0,22.0,0.36363636363636365
78,2,No,Arts,Auditory,XFTK88,Female,Yes,76.0,20.0,1.0,15.0,8.0,92.0,22:00,6:00,private transport,white,8.0,21.0,0.047619047619047616
79,2,Yes,None,Visual,E4467Q,Male,No,83.0,16.0,2.0,15.0,8.0,95.0,21:00,5:00,public transport,red,8.0,18.0,0.1111111111111111
80,0,No,Clubs,Visual,XY6R2B,Female,Yes,53.0,4.0,16.0,16.0,14.0,97.0,22:00,6:00,private transport,yellow,8.0,20.0,0.8
81,0,No,Clubs,Auditory,ANUEDH,Male,No,57.0,24.0,3.0,,6.0,96.0,22:00,6:00,private transport,white,8.0,27.0,0.1111111111111111
82,0,Yes,None,Visual,7EPPQG,Female,Yes,70.0,1.0,15.0,,10.0,96.0,22:30,6:30,private transport,red,8.0,16.0,0.9375
83,1,No,Arts,Auditory,EAZDA8,Female,Yes,52.0,21.0,3.0,,8.0,95.0,22:00,6:00,private transport,blue,8.0,24.0,0.125
84,1,No,Arts,Visual,GGSU2X,Female,No,50.0,16.0,14.0,16.0,18.0,95.0,21:30,5:30,public transport,blue,8.0,30.0,0.4666666666666667
85,0,No,Arts,Auditory,B6U6DY,Female,Yes,94.0,18.0,3.0,16.0,8.0,,23:00,7:00,walk,yellow,8.0,21.0,0.14285714285714285
86,1,No,Sports,Auditory,W3QNOA,Female,No,48.0,7.0,18.0,15.0,14.0,92.0,23:00,7:00,walk,yellow,8.0,25.0,0.72
87,0,Yes,None,Visual,MB9F8E,Male,No,82.0,15.0,2.0,15.0,9.0,93.0,23:00,7:00,walk,blue,8.0,17.0,0.11764705882352941
88,1,Yes,Sports,Visual,Z8SK8Q,Female,Yes,67.0,8.0,13.0,15.0,7.0,,22:30,6:30,private transport,blue,8.0,21.0,0.6190476190476191
89,0,No,Clubs,Auditory,JHI88P,Female,Yes,66.0,16.0,11.0,16.0,17.0,92.0,21:00,5:00,public transport,red,8.0,27.0,0.4074074074074074
90,0,No,None,Visual,BNX7P2,Female,Yes,89.0,16.0,7.0,15.0,7.0,,21:30,5:30,public transport,yellow,8.0,23.0,0.30434782608695654
91,2,No,Arts,Auditory,EK2Z2C,Male,Yes,71.0,19.0,0.0,16.0,8.0,92.0,22:00,6:00,private transport,green,8.0,19.0,0.0
92,2,No,None,Visual,KIKA1F,Male,Yes,60.0,22.0,0.0,15.0,15.0,91.0,23:00,7:00,walk,white,8.0,22.0,0.0
93,1,Yes,None,Visual,QCJ1S2,Female,Yes,93.0,3.0,18.0,16.0,5.0,96.0,21:30,5:30,public transport,blue,8.0,21.0,0.8571428571428571
94,0,No,None,Auditory,WQCJ0U,Male,Yes,87.0,19.0,3.0,16.0,7.0,96.0,21:30,5:30,public transport,green,8.0,22.0,0.13636363636363635
95,0,No,None,Auditory,0ZM2DQ,Female,No,88.0,7.0,15.0,16.0,7.0,97.0,23:00,7:00,walk,green,8.0,22.0,0.6818181818181818
96,1,No,Sports,Auditory,80MAOJ,Male,Yes,63.0,18.0,4.0,15.0,13.0,100.0,23:00,7:00,walk,red,8.0,22.0,0.18181818181818182
97,0,No,None,Visual,7QEG4X,Male,No,79.0,13.0,14.0,16.0,5.0,94.0,22:00,6:00,private transport,green,8.0,27.0,0.5185185185185185
98,1,No,Clubs,Auditory,ZP7S5I,Male,Yes,56.0,12.0,15.0,16.0,8.0,99.0,22:30,6:30,private transport,white,8.0,27.0,0.5555555555555556
99,0,No,None,Visual,YGJQCK,Male,Yes,94.0,20.0,3.0,15.0,9.0,95.0,22:00,6:00,private transport,blue,8.0,23.0,0.13043478260869565
100,1,No,Clubs,Auditory,QM7MY8,Female,No,47.0,20.0,5.0,15.0,9.0,61.0,2:30,6:30,private transport,yellow,4.0,25.0,0.2
101,1,No,Sports,Auditory,0QUOS2,Female,No,54.0,3.0,27.0,15.0,15.0,93.0,21:30,5:30,public transport,white,8.0,30.0,0.9
102,1,No,Clubs,Auditory,AW0QXU,Female,Yes,64.0,7.0,21.0,16.0,6.0,99.0,22:00,6:00,private transport,black,8.0,28.0,0.75
103,2,No,Clubs,Auditory,KZ8V82,Female,Yes,51.0,15.0,3.0,15.0,6.0,95.0,23:00,7:00,walk,white,8.0,18.0,0.16666666666666666
104,1,No,Arts,Auditory,43SC3X,Female,No,55.0,14.0,15.0,16.0,7.0,93.0,23:00,7:00,walk,red,8.0,29.0,0.5172413793103449
105,1,No,Clubs,Auditory,PFK1PZ,Male,Yes,74.0,18.0,10.0,15.0,9.0,96.0,21:00,5:00,public transport,yellow,8.0,28.0,0.35714285714285715
106,2,No,Sports,Auditory,X1PLLZ,Female,Yes,46.0,10.0,14.0,15.0,9.0,81.0,22:30,5:30,public transport,white,7.0,24.0,0.5833333333333334
107,1,No,Sports,Visual,2ZMPZA,Male,Yes,53.0,30.0,0.0,15.0,10.0,91.0,22:30,6:30,private transport,blue,8.0,30.0,0.0
108,0,No,None,Visual,GK3BXZ,Male,No,65.0,22.0,5.0,15.0,19.0,99.0,21:00,5:00,public transport,black,8.0,27.0,0.18518518518518517
109,2,No,Clubs,Auditory,XZY6BR,Female,No,52.0,15.0,4.0,16.0,15.0,95.0,23:00,7:00,walk,blue,8.0,19.0,0.21052631578947367
110,1,No,Sports,Visual,GFRBAF,Female,No,46.0,21.0,9.0,15.0,11.0,77.0,22:00,5:00,public transport,yellow,7.0,30.0,0.3
111,0,Yes,Sports,Visual,6XKV9Q,Female,No,83.0,14.0,2.0,16.0,7.0,95.0,21:00,5:00,public transport,yellow,8.0,16.0,0.125
112,2,No,Sports,Auditory,U9XHGZ,Female,N,46.0,7.0,16.0,15.0,4.0,52.0,0:00,5:00,public transport,black,5.0,23.0,0.6956521739130435
113,1,No,Clubs,Auditory,BC79L5,Female,Yes,52.0,22.0,7.0,15.0,17.0,93.0,23:00,7:00,walk,white,8.0,29.0,0.2413793103448276
114,0,Yes,Clubs,Auditory,2QYBOU,Female,No,72.0,17.0,2.0,,10.0,97.0,21:30,5:30,public transport,black,8.0,19.0,0.10526315789473684
115,1,No,Arts,Auditory,GKO7VX,Male,Yes,66.0,18.0,10.0,15.0,14.0,97.0,21:00,5:00,public transport,green,8.0,28.0,0.35714285714285715
116,0,No,Sports,Auditory,ES1RUS,Female,No,69.0,3.0,18.0,15.0,18.0,99.0,21:00,5:00,public transport,yellow,8.0,21.0,0.8571428571428571
117,1,Yes,None,Auditory,IM44PM,Male,Yes,78.0,18.0,3.0,16.0,9.0,95.0,22:00,6:00,private transport,green,8.0,21.0,0.14285714285714285
118,0,No,None,Visual,UD6QES,Male,Yes,84.0,14.0,9.0,15.0,9.0,98.0,22:30,6:30,private transport,black,8.0,23.0,0.391304347826087
119,1,No,Arts,Auditory,3AVEIW,Female,No,63.0,0.0,27.0,15.0,18.0,93.0,22:30,6:30,private transport,white,8.0,27.0,1.0
120,0,No,Sports,Visual,WCO3PY,Female,No,73.0,5.0,23.0,16.0,18.0,99.0,21:00,5:00,public transport,blue,8.0,28.0,0.8214285714285714
121,0,Yes,None,Visual,DGJLSD,Male,Yes,85.0,15.0,1.0,16.0,9.0,96.0,22:00,6:00,private transport,yellow,8.0,16.0,0.0625
122,1,No,Arts,Auditory,ED45O1,Female,Yes,71.0,21.0,1.0,16.0,9.0,97.0,22:30,6:30,private transport,green,8.0,22.0,0.045454545454545456
123,1,No,Sports,Visual,SCL5U1,Female,Yes,46.0,1.0,29.0,15.0,13.0,90.0,22:00,6:00,private transport,red,8.0,30.0,0.9666666666666667
124,2,No,Sports,Auditory,7N3MXK,Female,Yes,62.0,10.0,12.0,16.0,9.0,92.0,22:30,6:30,private transport,green,8.0,22.0,0.5454545454545454
125,2,No,Sports,Auditory,5Z0IOP,Female,Yes,76.0,11.0,10.0,16.0,10.0,94.0,23:00,7:00,walk,black,8.0,21.0,0.47619047619047616
126,1,No,Sports,Visual,9BZOHI,Male,Yes,65.0,12.0,16.0,16.0,19.0,94.0,22:30,6:30,private transport,green,8.0,28.0,0.5714285714285714
127,1,Yes,None,Visual,AUPAC8,Male,Yes,91.0,14.0,7.0,16.0,9.0,91.0,0:00,7:00,walk,yellow,7.0,21.0,0.3333333333333333
128,1,No,Sports,Auditory,8PXI3E,Male,No,38.0,19.0,9.0,16.0,3.0,51.0,1:00,6:00,private transport,yellow,5.0,28.0,0.32142857142857145
129,0,No,Sports,Visual,6F1PTH,Male,Yes,96.0,12.0,11.0,15.0,8.0,98.0,22:00,6:00,private transport,yellow,8.0,23.0,0.4782608695652174
130,0,No,Clubs,Auditory,BSZMBK,Male,Yes,93.0,21.0,4.0,16.0,6.0,91.0,21:30,5:30,public transport,red,8.0,25.0,0.16
131,2,No,Sports,Auditory,FI521J,Female,Yes,55.0,1.0,17.0,16.0,12.0,92.0,21:30,5:30,public transport,green,8.0,18.0,0.9444444444444444
132,1,No,Sports,Auditory,190KM7,Male,Yes,58.0,19.0,3.0,16.0,17.0,94.0,22:00,6:00,private transport,white,8.0,22.0,0.13636363636363635
133,1,No,Sports,Auditory,2OS39W,Female,Yes,64.0,16.0,11.0,15.0,10.0,92.0,21:30,5:30,public transport,green,8.0,27.0,0.4074074074074074
134,0,No,Sports,Auditory,0MKJET,Female,No,65.0,11.0,10.0,15.0,14.0,95.0,22:30,6:30,private transport,black,8.0,21.0,0.47619047619047616
135,0,No,Clubs,Visual,XACBU2,Male,Yes,89.0,14.0,8.0,15.0,7.0,99.0,21:30,5:30,public transport,yellow,8.0,22.0,0.36363636363636365
136,0,No,Clubs,Visual,QB177D,Female,N,55.0,9.0,13.0,16.0,13.0,98.0,22:00,6:00,private transport,green,8.0,22.0,0.5909090909090909
137,1,No,Sports,Visual,WHO5I7,Female,No,58.0,8.0,23.0,16.0,9.0,97.0,21:00,5:00,public transport,red,8.0,31.0,0.7419354838709677
138,1,No,Arts,Auditory,90IB5O,Female,No,53.0,13.0,12.0,16.0,18.0,95.0,22:30,6:30,private transport,white,8.0,25.0,0.48
139,1,No,Clubs,Visual,MP9662,Female,No,47.0,19.0,11.0,16.0,10.0,91.0,21:00,5:00,public transport,white,8.0,30.0,0.36666666666666664
140,2,No,None,Visual,TDLKDV,Female,Yes,72.0,6.0,13.0,,10.0,99.0,22:00,6:00,private transport,yellow,8.0,19.0,0.6842105263157895
141,0,No,None,Auditory,MP1M7A,Female,No,68.0,19.0,8.0,15.0,19.0,95.0,22:30,6:30,private transport,black,8.0,27.0,0.2962962962962963
142,1,No,None,Auditory,2RE5VB,Female,Yes,61.0,22.0,6.0,,7.0,91.0,22:30,6:30,private transport,yellow,8.0,28.0,0.21428571428571427
143,1,Yes,Sports,Auditory,WIHG37,Female,Yes,72.0,9.0,11.0,15.0,11.0,94.0,22:30,6:30,private transport,white,8.0,20.0,0.55
144,1,No,Clubs,Visual,JIQ8UK,Male,No,51.0,23.0,7.0,15.0,7.0,100.0,22:30,6:30,private transport,green,8.0,30.0,0.23333333333333334
145,2,No,Arts,Visual,FR8U8M,Female,No,41.0,3.0,19.0,,8.0,96.0,22:00,6:00,private transport,yellow,8.0,22.0,0.8636363636363636
146,0,No,Sports,Auditory,AW6ZDW,Female,No,53.0,1.0,20.0,16.0,18.0,97.0,22:00,6:00,private transport,black,8.0,21.0,0.9523809523809523
147,1,No,Clubs,Visual,BASY1M,Male,No,53.0,15.0,11.0,15.0,18.0,100.0,22:00,6:00,private transport,red,8.0,26.0,0.4230769230769231
148,0,No,Clubs,Visual,9DC1Y5,Female,No,76.0,0.0,27.0,15.0,8.0,96.0,21:30,5:30,public transport,yellow,8.0,27.0,1.0
149,2,No,Sports,Auditory,894SIA,Male,No,59.0,18.0,2.0,15.0,16.0,94.0,22:30,6:30,private transport,yellow,8.0,20.0,0.1
150,1,No,Clubs,Visual,QJODVK,Female,Yes,59.0,25.0,3.0,15.0,15.0,94.0,22:30,6:30,private transport,black,8.0,28.0,0.10714285714285714
151,1,Yes,Sports,Visual,Y1CFA8,Female,No,49.0,27.0,3.0,16.0,4.0,55.0,0:30,5:30,public transport,red,5.0,30.0,0.1
152,1,Yes,Sports,Auditory,4YZZ66,Male,No,49.0,12.0,12.0,16.0,7.0,93.0,23:00,7:00,walk,blue,8.0,24.0,0.5
153,2,No,Arts,Auditory,H1XKZZ,Male,Yes,56.0,20.0,0.0,16.0,11.0,93.0,21:30,5:30,public transport,green,8.0,20.0,0.0
154,0,No,None,Auditory,4VZ0W4,Female,Yes,72.0,0.0,23.0,,12.0,94.0,21:00,5:00,public transport,yellow,8.0,23.0,1.0
155,1,Yes,None,Visual,QUV2FC,Female,No,91.0,9.0,12.0,16.0,5.0,97.0,21:30,5:30,public transport,green,8.0,21.0,0.5714285714285714
156,1,No,Clubs,Auditory,LDFJ01,Male,No,61.0,17.0,11.0,15.0,8.0,100.0,21:00,5:00,public transport,black,8.0,28.0,0.39285714285714285
157,2,Yes,Arts,Visual,T4NOZ5,Male,No,54.0,11.0,5.0,15.0,5.0,99.0,21:30,5:30,public transport,yellow,8.0,16.0,0.3125
158,0,No,Clubs,Visual,2RH032,Male,No,72.0,13.0,15.0,16.0,10.0,95.0,21:30,5:30,public transport,red,8.0,28.0,0.5357142857142857
159,1,Yes,Clubs,Auditory,0Y30H6,Female,Yes,75.0,7.0,10.0,16.0,6.0,92.0,22:30,6:30,private transport,yellow,8.0,17.0,0.5882352941176471
160,1,Yes,None,Visual,CGRXK9,Female,No,61.0,21.0,6.0,16.0,7.0,96.0,22:30,6:30,private transport,red,8.0,27.0,0.2222222222222222
161,0,No,Arts,Auditory,F9Q4TS,Male,Yes,77.0,12.0,9.0,16.0,6.0,93.0,22:00,6:00,private transport,black,8.0,21.0,0.42857142857142855
162,1,Yes,Arts,Auditory,1IMC07,Female,No,49.0,19.0,6.0,15.0,10.0,91.0,22:00,6:00,private transport,yellow,8.0,25.0,0.24
163,2,No,Sports,Auditory,GWX4PV,Female,No,41.0,15.0,7.0,15.0,1.0,98.0,21:00,5:00,public transport,yellow,8.0,22.0,0.3181818181818182
164,2,No,Arts,Auditory,9B2MSU,Female,Yes,49.0,15.0,9.0,15.0,6.0,56.0,1:30,5:30,public transport,white,4.0,24.0,0.375
165,2,No,Clubs,Visual,OLRR8C,Female,No,72.0,10.0,13.0,15.0,7.0,96.0,22:00,6:00,private transport,yellow,8.0,23.0,0.5652173913043478
166,1,No,Clubs,Auditory,4TTFFE,Female,Yes,58.0,4.0,20.0,15.0,16.0,100.0,22:00,6:00,private transport,white,8.0,24.0,0.8333333333333334
167,0,No,Sports,Auditory,34JBW3,Female,No,77.0,5.0,17.0,15.0,6.0,90.0,21:00,5:00,public transport,green,8.0,22.0,0.7727272727272727
168,2,No,Sports,Visual,0B0KHP,Male,No,70.0,20.0,3.0,16.0,14.0,91.0,23:00,7:00,walk,yellow,8.0,23.0,0.13043478260869565
169,1,No,None,Visual,BX2EJ1,Male,No,55.0,16.0,10.0,16.0,13.0,99.0,21:00,5:00,public transport,blue,8.0,26.0,0.38461538461538464
170,0,Yes,None,Visual,3JIYVD,Female,No,81.0,3.0,15.0,15.0,7.0,90.0,23:00,6:00,private transport,yellow,7.0,18.0,0.8333333333333334
