student_id,column,values
BOA4CS,index,"[np.int64(615), np.int64(10506)]"
BOA4CS,bag_color,"['black', 'white']"
D79W3J,index,"[np.int64(617), np.int64(9449)]"
D79W3J,bag_color,"['black', 'white']"
ZD2INP,index,"[np.int64(620), np.int64(10244)]"
ZD2INP,bag_color,"['green', 'black']"
B6FBJW,index,"[np.int64(636), np.int64(13003)]"
M1XMR8,index,"[np.int64(637), np.int64(13806)]"
M1XMR8,bag_color,"['blue', 'red']"
4QPNEA,index,"[np.int64(643), np.int64(11962)]"
H4OFXD,index,"[np.int64(645), np.int64(11695)]"
H4OFXD,bag_color,"['green', 'yellow']"
I9NYBE,index,"[np.int64(661), np.int64(6591)]"
I9NYBE,bag_color,"['green', 'red']"
H1P7LK,index,"[np.int64(682), np.int64(12924)]"
H1P7LK,bag_color,"['yellow', 'blue']"
2NDS80,index,"[np.int64(687), np.int64(5200)]"
2NDS80,bag_color,"['blue', 'white']"
2JEVFB,index,"[np.int64(691), np.int64(9287)]"
2JEVFB,bag_color,"['white', 'black']"
IBW5W0,index,"[np.int64(708), np.int64(4819)]"
IBW5W0,bag_color,"['green', 'blue']"
QIUSKC,index,"[np.int64(715), np.int64(12238)]"
QIUSKC,bag_color,"['green', 'blue']"
7FA6JR,index,"[np.int64(721), np.int64(4338)]"
7FA6JR,bag_color,"['red', 'black']"
YOX87L,index,"[np.int64(726), np.int64(13061)]"
YOX87L,bag_color,"['green', 'red']"
0N6SFC,index,"[np.int64(729), np.int64(5260)]"
0N6SFC,bag_color,"['white', 'red']"
H7N3F1,index,"[np.int64(735), np.int64(3452)]"
H7N3F1,bag_color,"['white', 'blue']"
ROR2EN,index,"[np.int64(750), np.int64(11991)]"
6JJBGL,index,"[np.int64(757), np.int64(10082)]"
6JJBGL,bag_color,"['blue', 'white']"
HXPCXP,index,"[np.int64(761), np.int64(12005)]"
HXPCXP,bag_color,"['green', 'white']"
LJR4B2,index,"[np.int64(769), np.int64(13880)]"
LJR4B2,bag_color,"['blue', 'red']"
HAJ53G,index,"[np.int64(775), np.int64(14610)]"
HAJ53G,bag_color,"['red', 'yellow']"
A7ZPOR,index,"[np.int64(788), np.int64(9428)]"
A7ZPOR,bag_color,"['white', 'red']"
4USS5P,index,"[np.int64(793), np.int64(2103)]"
LNFETR,index,"[np.int64(817), np.int64(5160)]"
LNFETR,bag_color,"['white', 'black']"
8Y1DTU,index,"[np.int64(824), np.int64(6109)]"
8Y1DTU,bag_color,"['yellow', 'white']"
JDENXI,index,"[np.int64(837), np.int64(14417)]"
JDENXI,bag_color,"['black', 'yellow']"
O5MJ5G,index,"[np.int64(848), np.int64(978)]"
O5MJ5G,bag_color,"['yellow', 'blue']"
Z3AQIF,index,"[np.int64(856), np.int64(2009)]"
Z3AQIF,bag_color,"['red', 'blue']"
X263P7,index,"[np.int64(864), np.int64(5627)]"
X263P7,bag_color,"['yellow', 'green']"
OBOT9I,index,"[np.int64(866), np.int64(14755)]"
UZ47D7,index,"[np.int64(871), np.int64(8069)]"
UZ47D7,bag_color,"['green', 'blue']"
RD4HE3,index,"[np.int64(875), np.int64(7144)]"
RD4HE3,bag_color,"['green', 'white']"
O2AFOR,index,"[np.int64(877), np.int64(13796)]"
O2AFOR,bag_color,"['green', 'yellow']"
3XKAAX,index,"[np.int64(878), np.int64(4761)]"
247GAR,index,"[np.int64(884), np.int64(14730)]"
247GAR,bag_color,"['green', 'black']"
UQ2VIP,index,"[np.int64(888), np.int64(10061)]"
UQ2VIP,bag_color,"['blue', 'black']"
FRRW02,index,"[np.int64(893), np.int64(12298)]"
HL8LER,index,"[np.int64(896), np.int64(9391)]"
HL8LER,bag_color,"['white', 'yellow']"
2KKLZW,index,"[np.int64(905), np.int64(2204)]"
2KKLZW,bag_color,"['yellow', 'blue']"
KEO5BG,index,"[np.int64(906), np.int64(13976)]"
KEO5BG,bag_color,"['white', 'yellow']"
CNXIXG,index,"[np.int64(914), np.int64(5127)]"
CNXIXG,bag_color,"['white', 'black']"
I7Y9CO,index,"[np.int64(915), np.int64(7923)]"
ZFSEF8,index,"[np.int64(940), np.int64(7734)]"
ZFSEF8,bag_color,"['black', 'green']"
28W5E6,index,"[np.int64(941), np.int64(3633)]"
28W5E6,bag_color,"['yellow', 'green']"
0MRANQ,index,"[np.int64(948), np.int64(8032)]"
0MRANQ,bag_color,"['blue', 'white']"
I97ZR9,index,"[np.int64(969), np.int64(2098)]"
X5LKU2,index,"[np.int64(991), np.int64(2528)]"
X5LKU2,bag_color,"['white', 'blue']"
E3JLCA,index,"[np.int64(1001), np.int64(1862)]"
E3JLCA,bag_color,"['blue', 'black']"
U09OH4,index,"[np.int64(1006), np.int64(3650)]"
U09OH4,bag_color,"['yellow', 'green']"
A41HBL,index,"[np.int64(1012), np.int64(8762)]"
H61QBO,index,"[np.int64(1028), np.int64(12275)]"
PXQ26S,index,"[np.int64(1029), np.int64(3361)]"
PMN777,index,"[np.int64(1043), np.int64(1225)]"
PMN777,bag_color,"['red', 'yellow']"
9K5075,index,"[np.int64(1044), np.int64(1633)]"
9K5075,bag_color,"['red', 'green']"
PFHASG,index,"[np.int64(1057), np.int64(8822)]"
PFHASG,bag_color,"['red', 'black']"
GQ61M6,index,"[np.int64(1061), np.int64(4656)]"
D4KBX7,index,"[np.int64(1066), np.int64(1770)]"
FGCM5J,index,"[np.int64(1086), np.int64(7851)]"
FGCM5J,bag_color,"['blue', 'black']"
Z6VZT3,index,"[np.int64(1110), np.int64(8269)]"
Z6VZT3,bag_color,"['blue', 'black']"
X1E1WR,index,"[np.int64(1118), np.int64(4357)]"
X1E1WR,bag_color,"['white', 'green']"
X1CXVP,index,"[np.int64(1137), np.int64(15788)]"
X1CXVP,bag_color,"['yellow', 'white']"
TE1RAN,index,"[np.int64(1138), np.int64(6909)]"
TE1RAN,bag_color,"['green', 'blue']"
FS3BK9,index,"[np.int64(1139), np.int64(12659)]"
39DA5T,index,"[np.int64(1143), np.int64(7925)]"
39DA5T,bag_color,"['yellow', 'white']"
TEQTBR,index,"[np.int64(1146), np.int64(5634)]"
0X4991,index,"[np.int64(1147), np.int64(14939)]"
0X4991,bag_color,"['red', 'white']"
TMURFS,index,"[np.int64(1155), np.int64(15465)]"
TMURFS,bag_color,"['green', 'black']"
W8V901,index,"[np.int64(1157), np.int64(8720)]"
W8V901,bag_color,"['blue', 'yellow']"
TY0JW8,index,"[np.int64(1159), np.int64(7727)]"
UF2SN0,index,"[np.int64(1166), np.int64(8911)]"
UF2SN0,bag_color,"['black', 'green']"
I90S2O,index,"[np.int64(1178), np.int64(6250)]"
I90S2O,bag_color,"['yellow', 'white']"
TISTLT,index,"[np.int64(1190), np.int64(8114)]"
TISTLT,bag_color,"['black', 'yellow']"
SRVHCS,index,"[np.int64(1195), np.int64(6404)]"
SRVHCS,bag_color,"['white', 'blue']"
1MMVVD,index,"[np.int64(1201), np.int64(6132)]"
1MMVVD,bag_color,"['yellow', 'blue']"
O3MM6G,index,"[np.int64(1214), np.int64(12994)]"
O3MM6G,bag_color,"['green', 'red']"
9TBOTW,index,"[np.int64(1229), np.int64(14861)]"
9TBOTW,bag_color,"['white', 'green']"
DO7UAH,index,"[np.int64(1232), np.int64(9950)]"
DO7UAH,bag_color,"['blue', 'green']"
ZZNA57,index,"[np.int64(1241), np.int64(15113)]"
ZZNA57,bag_color,"['green', 'red']"
PNJV5Q,index,"[np.int64(1253), np.int64(11680)]"
GJQ9VI,index,"[np.int64(1259), np.int64(7089)]"
GJQ9VI,bag_color,"['green', 'white']"
PQGC88,index,"[np.int64(1272), np.int64(9044)]"
0U7EMF,index,"[np.int64(1283), np.int64(15775)]"
0U7EMF,bag_color,"['blue', 'white']"
Z4IOIC,index,"[np.int64(1289), np.int64(7746)]"
Z4IOIC,bag_color,"['white', 'red']"
9J6XPL,index,"[np.int64(1304), np.int64(15174)]"
9J6XPL,bag_color,"['green', 'white']"
OYJGME,index,"[np.int64(1320), np.int64(8928)]"
ZO9ETI,index,"[np.int64(1323), np.int64(9975)]"
ZO9ETI,bag_color,"['white', 'red']"
6YS1TV,index,"[np.int64(1327), np.int64(7415)]"
6YS1TV,bag_color,"['red', 'yellow']"
5GCMYD,index,"[np.int64(1330), np.int64(1425)]"
5GCMYD,bag_color,"['black', 'green']"
75H1CF,index,"[np.int64(1350), np.int64(13922)]"
75H1CF,bag_color,"['green', 'yellow']"
VB5H13,index,"[np.int64(1356), np.int64(10694)]"
VB5H13,bag_color,"['black', 'blue']"
QZQFL0,index,"[np.int64(1366), np.int64(2694)]"
QZQFL0,bag_color,"['red', 'green']"
BG4MGS,index,"[np.int64(1385), np.int64(14187)]"
BG4MGS,bag_color,"['red', 'white']"
0JUGAF,index,"[np.int64(1405), np.int64(6339)]"
0JUGAF,bag_color,"['red', 'yellow']"
YBGRGZ,index,"[np.int64(1420), np.int64(12182)]"
YBGRGZ,bag_color,"['black', 'red']"
HMH81V,index,"[np.int64(1424), np.int64(8073)]"
HMH81V,bag_color,"['red', 'yellow']"
OJM2Z3,index,"[np.int64(1430), np.int64(14608)]"
5AWK59,index,"[np.int64(1441), np.int64(7858)]"
5AWK59,bag_color,"['green', 'blue']"
8YDCV7,index,"[np.int64(1486), np.int64(13540)]"
8YDCV7,bag_color,"['red', 'black']"
4V17WK,index,"[np.int64(1488), np.int64(14849)]"
4V17WK,bag_color,"['yellow', 'green']"
HYNF0J,index,"[np.int64(1494), np.int64(15454)]"
HYNF0J,bag_color,"['black', 'yellow']"
FRZTOU,index,"[np.int64(1498), np.int64(3780)]"
FRZTOU,bag_color,"['red', 'black']"
SSYND1,index,"[np.int64(1505), np.int64(10560)]"
SSYND1,bag_color,"['yellow', 'black']"
2NTNAT,index,"[np.int64(1560), np.int64(10890)]"
2NTNAT,bag_color,"['white', 'black']"
F8WIHG,index,"[np.int64(1571), np.int64(4272)]"
F8WIHG,bag_color,"['red', 'green']"
Z9YY3M,index,"[np.int64(1580), np.int64(15871)]"
Z9YY3M,bag_color,"['green', 'black']"
BS4AUN,index,"[np.int64(1597), np.int64(15319)]"
BS4AUN,bag_color,"['yellow', 'red']"
AT626E,index,"[np.int64(1609), np.int64(9209)]"
AT626E,bag_color,"['black', 'blue']"
2Q15VF,index,"[np.int64(1613), np.int64(15544)]"
2Q15VF,bag_color,"['green', 'black']"
KNWL5Z,index,"[np.int64(1630), np.int64(12990)]"
KNWL5Z,bag_color,"['yellow', 'white']"
KC8YO4,index,"[np.int64(1655), np.int64(12732)]"
KC8YO4,bag_color,"['black', 'red']"
JMMYZ4,index,"[np.int64(1658), np.int64(3933)]"
JMMYZ4,bag_color,"['white', 'black']"
FRSS0N,index,"[np.int64(1662), np.int64(4341)]"
FRSS0N,bag_color,"['white', 'green']"
XT1L7Z,index,"[np.int64(1663), np.int64(15894)]"
XT1L7Z,bag_color,"['yellow', 'blue']"
THDARP,index,"[np.int64(1673), np.int64(5765)]"
THDARP,bag_color,"['blue', 'red']"
SLM6ZB,index,"[np.int64(1699), np.int64(4068)]"
SLM6ZB,bag_color,"['red', 'blue']"
6043IQ,index,"[np.int64(1720), np.int64(14532)]"
6043IQ,bag_color,"['white', 'yellow']"
O8QXHI,index,"[np.int64(1729), np.int64(12392)]"
XDEB7P,index,"[np.int64(1747), np.int64(15318)]"
XDEB7P,bag_color,"['black', 'white']"
DWVSJ2,index,"[np.int64(1750), np.int64(10273)]"
DWVSJ2,bag_color,"['yellow', 'red']"
NUYK70,index,"[np.int64(1776), np.int64(4173)]"
GLHWNL,index,"[np.int64(1778), np.int64(5325)]"
I2V1I2,index,"[np.int64(1791), np.int64(4446)]"
I2V1I2,bag_color,"['white', 'red']"
T9PF1C,index,"[np.int64(1798), np.int64(11405)]"
T9PF1C,bag_color,"['red', 'yellow']"
8CG2LV,index,"[np.int64(1810), np.int64(10042)]"
8CG2LV,bag_color,"['blue', 'yellow']"
3QSBNP,index,"[np.int64(1813), np.int64(2379)]"
3QSBNP,bag_color,"['green', 'red']"
84BF7N,index,"[np.int64(1828), np.int64(9348)]"
90WLC8,index,"[np.int64(1838), np.int64(4957)]"
90WLC8,bag_color,"['red', 'black']"
R99BRF,index,"[np.int64(1841), np.int64(15567)]"
R99BRF,bag_color,"['blue', 'green']"
VL3ZKL,index,"[np.int64(1845), np.int64(13783)]"
VL3ZKL,bag_color,"['yellow', 'white']"
1H67CV,index,"[np.int64(1847), np.int64(8308)]"
1H67CV,bag_color,"['black', 'red']"
RXYGUI,index,"[np.int64(1853), np.int64(4505)]"
RXYGUI,bag_color,"['red', 'white']"
BUN0YV,index,"[np.int64(1857), np.int64(3526)]"
7I4H8I,index,"[np.int64(1874), np.int64(11933)]"
7I4H8I,bag_color,"['red', 'white']"
PLAIAB,index,"[np.int64(1884), np.int64(5164)]"
PLAIAB,bag_color,"['red', 'blue']"
5CEWNH,index,"[np.int64(1895), np.int64(12249)]"
5CEWNH,bag_color,"['green', 'yellow']"
RHRN1M,index,"[np.int64(1903), np.int64(3240)]"
G77PAE,index,"[np.int64(1913), np.int64(6296)]"
G77PAE,bag_color,"['green', 'yellow']"
E1LZCV,index,"[np.int64(1938), np.int64(4548)]"
FNMA2U,index,"[np.int64(1953), np.int64(3483)]"
S2X8CO,index,"[np.int64(1965), np.int64(4498)]"
S2X8CO,bag_color,"['blue', 'red']"
3DOKW7,index,"[np.int64(1971), np.int64(6959)]"
3DOKW7,bag_color,"['black', 'green']"
U8ATA5,index,"[np.int64(1974), np.int64(4592)]"
U8ATA5,bag_color,"['blue', 'black']"
H0CRPE,index,"[np.int64(1982), np.int64(11331)]"
H0CRPE,bag_color,"['blue', 'black']"
E2SD8H,index,"[np.int64(1999), np.int64(14098)]"
E2SD8H,bag_color,"['black', 'green']"
5AHHQ9,index,"[np.int64(2002), np.int64(15668)]"
5AHHQ9,bag_color,"['white', 'green']"
V1FSG1,index,"[np.int64(2018), np.int64(3101)]"
V1FSG1,bag_color,"['black', 'blue']"
363OTL,index,"[np.int64(2021), np.int64(11699)]"
363OTL,bag_color,"['white', 'blue']"
Q9KXK6,index,"[np.int64(2026), np.int64(5213)]"
Q9KXK6,bag_color,"['blue', 'black']"
OTM2LZ,index,"[np.int64(2038), np.int64(4532)]"
OTM2LZ,bag_color,"['black', 'yellow']"
3HO6WS,index,"[np.int64(2061), np.int64(13708)]"
U9SOUN,index,"[np.int64(2082), np.int64(12257)]"
NWKTGU,index,"[np.int64(2106), np.int64(9948)]"
NWKTGU,bag_color,"['yellow', 'blue']"
MBUTPO,index,"[np.int64(2150), np.int64(9979)]"
MBUTPO,bag_color,"['yellow', 'white']"
35QTZ0,index,"[np.int64(2162), np.int64(3136)]"
35QTZ0,bag_color,"['green', 'blue']"
9CMOQ7,index,"[np.int64(2163), np.int64(8260)]"
QUTT42,index,"[np.int64(2167), np.int64(15762)]"
QUTT42,bag_color,"['green', 'black']"
7IZB0S,index,"[np.int64(2198), np.int64(9693)]"
7IZB0S,bag_color,"['yellow', 'blue']"
OHVF35,index,"[np.int64(2221), np.int64(6142)]"
OHVF35,bag_color,"['blue', 'white']"
HIDOXM,index,"[np.int64(2222), np.int64(5454)]"
HIDOXM,bag_color,"['green', 'white']"
3F0S0J,index,"[np.int64(2237), np.int64(4838)]"
3F0S0J,bag_color,"['red', 'blue']"
MGNCFU,index,"[np.int64(2254), np.int64(5106)]"
MGNCFU,bag_color,"['green', 'red']"
CVEAWG,index,"[np.int64(2267), np.int64(10207)]"
CVEAWG,bag_color,"['black', 'red']"
KZ6RSR,index,"[np.int64(2274), np.int64(2804)]"
KZ6RSR,bag_color,"['yellow', 'white']"
8R9NH7,index,"[np.int64(2277), np.int64(5151)]"
8R9NH7,bag_color,"['blue', 'red']"
1L8F4W,index,"[np.int64(2292), np.int64(9874)]"
1L8F4W,bag_color,"['blue', 'black']"
JTX9XR,index,"[np.int64(2306), np.int64(8784)]"
JTX9XR,bag_color,"['black', 'green']"
SMV5RR,index,"[np.int64(2311), np.int64(6391)]"
SMV5RR,bag_color,"['green', 'yellow']"
UOGCK0,index,"[np.int64(2315), np.int64(4930)]"
ZHW0XC,index,"[np.int64(2324), np.int64(13758)]"
VL7E39,index,"[np.int64(2346), np.int64(11569)]"
VL7E39,bag_color,"['blue', 'red']"
BLHFEH,index,"[np.int64(2348), np.int64(6275)]"
VCHTZ8,index,"[np.int64(2350), np.int64(14361)]"
VCHTZ8,bag_color,"['red', 'black']"
WN3084,index,"[np.int64(2355), np.int64(15637)]"
R6QDXT,index,"[np.int64(2359), np.int64(3609)]"
R6QDXT,bag_color,"['blue', 'black']"
F0A9UP,index,"[np.int64(2362), np.int64(13833)]"
F0A9UP,bag_color,"['black', 'yellow']"
EP44QF,index,"[np.int64(2368), np.int64(8396)]"
EP44QF,bag_color,"['green', 'blue']"
FOU7I1,index,"[np.int64(2375), np.int64(5215)]"
FOU7I1,bag_color,"['green', 'white']"
8G8Q5X,index,"[np.int64(2386), np.int64(11103)]"
LTRX7K,index,"[np.int64(2394), np.int64(12084)]"
7QZXVM,index,"[np.int64(2414), np.int64(10705)]"
7QZXVM,bag_color,"['white', 'black']"
U0NN16,index,"[np.int64(2420), np.int64(3476)]"
U0NN16,bag_color,"['black', 'white']"
V80XSJ,index,"[np.int64(2454), np.int64(6886)]"
V80XSJ,bag_color,"['red', 'blue']"
CFE3LG,index,"[np.int64(2461), np.int64(9263)]"
WRFO75,index,"[np.int64(2466), np.int64(11935)]"
WRFO75,bag_color,"['green', 'yellow']"
DC9LBQ,index,"[np.int64(2472), np.int64(15279)]"
DC9LBQ,bag_color,"['black', 'green']"
9P6WXQ,index,"[np.int64(2481), np.int64(5087)]"
IT442Y,index,"[np.int64(2482), np.int64(11422)]"
IT442Y,bag_color,"['blue', 'green']"
D2RZJ7,index,"[np.int64(2487), np.int64(14129)]"
D2RZJ7,bag_color,"['blue', 'white']"
G98UC2,index,"[np.int64(2492), np.int64(5720)]"
G98UC2,bag_color,"['white', 'green']"
S5W94D,index,"[np.int64(2505), np.int64(11009)]"
S5W94D,bag_color,"['yellow', 'blue']"
GZDELH,index,"[np.int64(2510), np.int64(3093)]"
GZDELH,bag_color,"['white', 'blue']"
58FVGO,index,"[np.int64(2513), np.int64(2785)]"
58FVGO,bag_color,"['yellow', 'black']"
RYJIHG,index,"[np.int64(2534), np.int64(10156)]"
CJXP8X,index,"[np.int64(2535), np.int64(4582)]"
CJXP8X,bag_color,"['red', 'white']"
2M7TAM,index,"[np.int64(2554), np.int64(9138)]"
2M7TAM,bag_color,"['red', 'white']"
K371A9,index,"[np.int64(2556), np.int64(12692)]"
M7IYX0,index,"[np.int64(2557), np.int64(13781)]"
M7IYX0,bag_color,"['red', 'green']"
3KILDA,index,"[np.int64(2560), np.int64(3012)]"
3KILDA,bag_color,"['white', 'black']"
A86JN0,index,"[np.int64(2562), np.int64(15178)]"
A86JN0,bag_color,"['red', 'yellow']"
I9QU41,index,"[np.int64(2564), np.int64(14117)]"
I9QU41,bag_color,"['blue', 'red']"
C89M3J,index,"[np.int64(2580), np.int64(15328)]"
C89M3J,bag_color,"['white', 'black']"
WMR8O3,index,"[np.int64(2582), np.int64(6438)]"
WMR8O3,bag_color,"['white', 'black']"
3BGDAT,index,"[np.int64(2585), np.int64(8882)]"
90XOMO,index,"[np.int64(2601), np.int64(11238)]"
90XOMO,bag_color,"['yellow', 'green']"
6A44G3,index,"[np.int64(2611), np.int64(9227)]"
6A44G3,bag_color,"['black', 'white']"
JIOT0G,index,"[np.int64(2634), np.int64(6570)]"
JIOT0G,bag_color,"['green', 'white']"
VYHN21,index,"[np.int64(2636), np.int64(10777)]"
VYHN21,bag_color,"['blue', 'black']"
1INPVN,index,"[np.int64(2641), np.int64(12165)]"
1INPVN,bag_color,"['blue', 'white']"
S4BUCS,index,"[np.int64(2677), np.int64(13866)]"
S4BUCS,bag_color,"['blue', 'red']"
D4POWG,index,"[np.int64(2679), np.int64(9171)]"
J9NTTW,index,"[np.int64(2692), np.int64(11627)]"
J9NTTW,bag_color,"['red', 'blue']"
Z3OOR8,index,"[np.int64(2704), np.int64(10269)]"
Z3OOR8,bag_color,"['black', 'white']"
76POLN,index,"[np.int64(2706), np.int64(4202)]"
76POLN,bag_color,"['white', 'red']"
KW73YI,index,"[np.int64(2711), np.int64(4606)]"
KW73YI,bag_color,"['red', 'white']"
9POG4V,index,"[np.int64(2721), np.int64(6152)]"
9POG4V,bag_color,"['white', 'red']"
95EVO4,index,"[np.int64(2722), np.int64(12090)]"
95EVO4,bag_color,"['black', 'red']"
GNQG14,index,"[np.int64(2726), np.int64(9925)]"
GNQG14,bag_color,"['green', 'yellow']"
KHNRXL,index,"[np.int64(2731), np.int64(8954)]"
KHNRXL,bag_color,"['black', 'yellow']"
YUPI42,index,"[np.int64(2736), np.int64(3155)]"
YUPI42,bag_color,"['red', 'blue']"
