index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color,sleep_duration,sleep_lessthan6hrs,class_size,female_ratio,class_size_group,class_size_tertile
10,2,Yes,Arts,Visual,5KDLKU,Female,No,72.0,20.0,0.0,16.0,10.0,92.0,21:30,5:30,public transport,white,8.0,False,20.0,0.0,Medium (20-24),Lower (14-21)
11,2,No,Sports,Auditory,PUMBWU,Female,No,52.0,15.0,7.0,16.0,11.0,91.0,21:00,5:00,public transport,red,8.0,False,22.0,0.3181818181818182,Medium (20-24),Middle (22-25)
12,0,No,Sports,Visual,T4U89N,Male,Yes,85.0,14.0,4.0,16.0,8.0,95.0,23:00,7:00,walk,green,8.0,False,18.0,0.2222222222222222,Small (14-19),Lower (14-21)
13,2,No,Sports,Visual,WPWT99,Male,Yes,83.0,17.0,0.0,16.0,6.0,90.0,22:30,6:30,private transport,red,8.0,False,17.0,0.0,Small (14-19),Lower (14-21)
14,0,Yes,Arts,Auditory,G0JBVS,Female,Yes,75.0,14.0,2.0,15.0,15.0,98.0,22:30,6:30,private transport,white,8.0,False,16.0,0.125,Small (14-19),Lower (14-21)
15,0,No,Clubs,Auditory,VRSYQL,Male,No,63.0,17.0,4.0,15.0,9.0,100.0,22:30,6:30,private transport,blue,8.0,False,21.0,0.19047619047619047,Medium (20-24),Lower (14-21)
16,2,No,Clubs,Auditory,W087TC,Female,No,42.0,5.0,19.0,15.0,13.0,96.0,21:30,5:30,public transport,green,8.0,False,24.0,0.7916666666666666,Medium (20-24),Middle (22-25)
17,1,No,None,Auditory,FALLVI,Female,Yes,70.0,26.0,2.0,15.0,10.0,100.0,22:30,6:30,private transport,black,8.0,False,28.0,0.07142857142857142,Large (25-31),Higher (26-31)
18,1,No,Clubs,Auditory,H014YN,Male,Yes,56.0,11.0,13.0,15.0,5.0,93.0,23:00,7:00,walk,yellow,8.0,False,24.0,0.5416666666666666,Medium (20-24),Middle (22-25)
19,1,No,Arts,Visual,ZQ3KFP,Male,Yes,79.0,25.0,0.0,15.0,8.0,96.0,22:00,6:00,private transport,red,8.0,False,25.0,0.0,Large (25-31),Middle (22-25)
20,1,No,Arts,Visual,QTPHGL,Female,Yes,59.0,1.0,27.0,15.0,9.0,92.0,23:30,6:30,private transport,red,7.0,False,28.0,0.9642857142857143,Large (25-31),Higher (26-31)
21,0,No,None,Visual,HJ6Y5P,Male,Yes,86.0,17.0,6.0,16.0,8.0,91.0,23:30,6:30,private transport,red,7.0,False,23.0,0.2608695652173913,Medium (20-24),Middle (22-25)
22,0,Yes,Clubs,Visual,U9YNGY,Female,No,69.0,17.0,2.0,15.0,12.0,95.0,23:00,7:00,walk,yellow,8.0,False,19.0,0.10526315789473684,Small (14-19),Lower (14-21)
23,0,No,Clubs,Auditory,586QHN,Male,Yes,95.0,12.0,13.0,15.0,9.0,97.0,22:00,6:00,private transport,white,8.0,False,25.0,0.52,Large (25-31),Middle (22-25)
24,0,No,Arts,Visual,PQ059G,Male,No,77.0,23.0,4.0,15.0,6.0,93.0,21:00,5:00,public transport,red,8.0,False,27.0,0.14814814814814814,Large (25-31),Higher (26-31)
25,1,No,Clubs,Auditory,MQQL0R,Female,No,54.0,20.0,5.0,15.0,18.0,95.0,23:00,7:00,walk,yellow,8.0,False,25.0,0.2,Large (25-31),Middle (22-25)
26,2,Yes,Arts,Visual,7QPRBM,Female,No,74.0,6.0,9.0,15.0,11.0,96.0,21:30,5:30,public transport,blue,8.0,False,15.0,0.6,Small (14-19),Lower (14-21)
27,2,No,Clubs,Auditory,GSTYQJ,Female,No,39.0,15.0,9.0,16.0,12.0,81.0,22:00,5:00,public transport,white,7.0,False,24.0,0.375,Medium (20-24),Middle (22-25)
28,1,No,Arts,Visual,OF3DU8,Male,Yes,70.0,10.0,14.0,16.0,17.0,95.0,21:00,5:00,public transport,yellow,8.0,False,24.0,0.5833333333333334,Medium (20-24),Middle (22-25)
29,1,Yes,None,Auditory,ZGU81D,Male,Yes,88.0,17.0,0.0,15.0,6.0,94.0,21:00,5:00,public transport,black,8.0,False,17.0,0.0,Small (14-19),Lower (14-21)
30,2,No,Sports,Visual,7882P8,Male,Yes,,20.0,2.0,,14.0,91.0,21:00,5:00,public transport,green,8.0,False,22.0,0.09090909090909091,Medium (20-24),Middle (22-25)
31,2,No,None,Visual,JK9O0T,Female,Yes,69.0,3.0,16.0,15.0,14.0,92.0,21:30,5:30,public transport,black,8.0,False,19.0,0.8421052631578947,Small (14-19),Lower (14-21)
32,1,No,Clubs,Visual,J5LN4C,Female,No,78.0,18.0,7.0,16.0,8.0,98.0,22:30,6:30,private transport,green,8.0,False,25.0,0.28,Large (25-31),Middle (22-25)
33,1,No,Arts,Visual,6OAS7F,Male,Yes,60.0,16.0,12.0,16.0,9.0,91.0,21:30,5:30,public transport,yellow,8.0,False,28.0,0.42857142857142855,Large (25-31),Higher (26-31)
34,0,Yes,Sports,Visual,9KCAKQ,Male,No,78.0,11.0,9.0,15.0,5.0,97.0,21:30,5:30,public transport,white,8.0,False,20.0,0.45,Medium (20-24),Lower (14-21)
35,1,No,Clubs,Visual,9C81UP,Male,No,66.0,15.0,7.0,16.0,7.0,96.0,21:30,5:30,public transport,green,8.0,False,22.0,0.3181818181818182,Medium (20-24),Middle (22-25)
36,2,No,Arts,Auditory,GJITFO,Female,Yes,58.0,17.0,1.0,15.0,9.0,92.0,22:00,6:00,private transport,white,8.0,False,18.0,0.05555555555555555,Small (14-19),Lower (14-21)
37,2,No,Sports,Visual,3LU16S,Female,No,45.0,16.0,8.0,15.0,5.0,87.0,21:00,5:00,public transport,black,8.0,False,24.0,0.3333333333333333,Medium (20-24),Middle (22-25)
38,1,No,Arts,Auditory,PSU5GT,Male,No,53.0,21.0,9.0,16.0,10.0,97.0,21:00,5:00,public transport,green,8.0,False,30.0,0.3,Large (25-31),Higher (26-31)
39,2,No,Arts,Auditory,OR5ZSX,Male,No,42.0,10.0,12.0,15.0,11.0,55.0,1:00,6:00,private transport,green,5.0,True,22.0,0.5454545454545454,Medium (20-24),Middle (22-25)
40,1,No,Arts,Visual,2HD89P,Male,Yes,71.0,10.0,15.0,15.0,15.0,91.0,22:30,5:30,public transport,yellow,7.0,False,25.0,0.6,Large (25-31),Middle (22-25)
41,1,Yes,None,Visual,ALOPZS,Female,Yes,92.0,2.0,19.0,15.0,10.0,95.0,22:30,6:30,private transport,black,8.0,False,21.0,0.9047619047619048,Medium (20-24),Lower (14-21)
42,1,No,None,Auditory,1GNS79,Male,Yes,62.0,11.0,17.0,16.0,5.0,97.0,21:00,5:00,public transport,red,8.0,False,28.0,0.6071428571428571,Large (25-31),Higher (26-31)
43,0,No,Arts,Auditory,QBSKYM,Female,Yes,75.0,16.0,7.0,15.0,8.0,97.0,21:00,5:00,public transport,yellow,8.0,False,23.0,0.30434782608695654,Medium (20-24),Middle (22-25)
44,0,No,Clubs,Visual,EIEGC8,Female,Yes,81.0,8.0,19.0,15.0,10.0,98.0,22:30,6:30,private transport,blue,8.0,False,27.0,0.7037037037037037,Large (25-31),Higher (26-31)
45,1,Yes,Arts,Visual,PRPPV8,Female,Yes,49.0,30.0,0.0,16.0,1.0,64.0,0:30,6:30,private transport,white,6.0,True,30.0,0.0,Large (25-31),Higher (26-31)
46,0,Yes,None,Visual,RAJ8CB,Male,No,82.0,12.0,5.0,15.0,5.0,93.0,21:30,5:30,public transport,green,8.0,False,17.0,0.29411764705882354,Small (14-19),Lower (14-21)
47,2,No,Sports,Auditory,M7KDZO,Female,Yes,79.0,6.0,15.0,16.0,9.0,99.0,21:30,5:30,public transport,white,8.0,False,21.0,0.7142857142857143,Medium (20-24),Lower (14-21)
48,0,Yes,Sports,Visual,GA61X8,Male,No,77.0,11.0,7.0,15.0,9.0,96.0,22:00,6:00,private transport,green,8.0,False,18.0,0.3888888888888889,Small (14-19),Lower (14-21)
49,1,No,Arts,Visual,Q6DZRI,Male,No,45.0,23.0,7.0,15.0,14.0,94.0,22:30,6:30,private transport,white,8.0,False,30.0,0.23333333333333334,Large (25-31),Higher (26-31)
50,1,No,Arts,Auditory,5F320K,Female,No,48.0,14.0,10.0,15.0,8.0,74.0,22:00,5:00,public transport,red,7.0,False,24.0,0.4166666666666667,Medium (20-24),Middle (22-25)
51,1,Yes,Clubs,Visual,6RUZRP,Male,Yes,,14.0,7.0,15.0,9.0,90.0,23:00,7:00,walk,white,8.0,False,21.0,0.3333333333333333,Medium (20-24),Lower (14-21)
52,2,No,Sports,Auditory,6ENKHB,Male,Yes,58.0,16.0,4.0,16.0,19.0,91.0,21:00,5:00,public transport,black,8.0,False,20.0,0.2,Medium (20-24),Lower (14-21)
53,0,No,Arts,Auditory,1CVO8I,Female,Yes,63.0,12.0,15.0,16.0,8.0,98.0,22:30,6:30,private transport,red,8.0,False,27.0,0.5555555555555556,Large (25-31),Higher (26-31)
54,2,Yes,Arts,Visual,QLG7M4,Female,No,78.0,6.0,8.0,15.0,7.0,98.0,21:00,5:00,public transport,yellow,8.0,False,14.0,0.5714285714285714,Small (14-19),Lower (14-21)
55,2,No,None,Visual,DC520G,Female,No,69.0,15.0,7.0,16.0,5.0,96.0,21:30,5:30,public transport,blue,8.0,False,22.0,0.3181818181818182,Medium (20-24),Middle (22-25)
56,2,No,Sports,Auditory,1SU69Y,Female,Yes,54.0,10.0,8.0,16.0,16.0,95.0,21:00,5:00,public transport,red,8.0,False,18.0,0.4444444444444444,Small (14-19),Lower (14-21)
57,1,Yes,None,Visual,OPWOR2,Female,Yes,95.0,1.0,20.0,15.0,9.0,92.0,22:00,6:00,private transport,green,8.0,False,21.0,0.9523809523809523,Medium (20-24),Lower (14-21)
58,1,No,Clubs,Visual,GF3FCX,Male,No,51.0,19.0,11.0,15.0,18.0,,22:30,6:30,private transport,black,8.0,False,30.0,0.36666666666666664,Large (25-31),Higher (26-31)
59,2,No,Sports,Auditory,OL7HET,Female,Yes,60.0,8.0,12.0,15.0,16.0,94.0,23:00,7:00,walk,green,8.0,False,20.0,0.6,Medium (20-24),Lower (14-21)
60,2,No,Arts,Auditory,1B3QSS,Female,Yes,40.0,3.0,19.0,,5.0,98.0,22:00,6:00,private transport,blue,8.0,False,22.0,0.8636363636363636,Medium (20-24),Middle (22-25)
61,1,No,Sports,Auditory,D8YD78,Female,Yes,57.0,24.0,6.0,,11.0,95.0,21:30,5:30,public transport,white,8.0,False,30.0,0.2,Large (25-31),Higher (26-31)
62,0,Yes,None,Auditory,68GQ7S,Male,Yes,85.0,12.0,9.0,16.0,8.0,,23:00,7:00,walk,red,8.0,False,21.0,0.42857142857142855,Medium (20-24),Lower (14-21)
63,1,Yes,None,Auditory,JMO689,Female,Yes,65.0,17.0,2.0,15.0,16.0,99.0,21:30,5:30,public transport,red,8.0,False,19.0,0.10526315789473684,Small (14-19),Lower (14-21)
64,1,Yes,Sports,Auditory,HLUIH1,Female,Yes,55.0,13.0,12.0,16.0,8.0,91.0,22:00,6:00,private transport,white,8.0,False,25.0,0.48,Large (25-31),Middle (22-25)
65,1,Yes,None,Visual,SI2A4J,Female,Yes,92.0,21.0,0.0,15.0,9.0,91.0,22:00,6:00,private transport,yellow,8.0,False,21.0,0.0,Medium (20-24),Lower (14-21)
66,1,No,Clubs,Auditory,25EIBZ,Male,No,50.0,15.0,15.0,16.0,5.0,92.0,23:00,7:00,walk,blue,8.0,False,30.0,0.5,Large (25-31),Higher (26-31)
67,0,No,Sports,Auditory,7XH8AD,Female,Yes,55.0,8.0,14.0,16.0,7.0,96.0,21:30,5:30,public transport,yellow,8.0,False,22.0,0.6363636363636364,Medium (20-24),Middle (22-25)
68,0,No,None,Auditory,92X86W,Male,Yes,94.0,10.0,15.0,16.0,7.0,92.0,21:00,5:00,public transport,red,8.0,False,25.0,0.6,Large (25-31),Middle (22-25)
69,1,No,Sports,Auditory,3T7YQD,Female,Yes,60.0,3.0,21.0,15.0,17.0,91.0,21:00,5:00,public transport,black,8.0,False,24.0,0.875,Medium (20-24),Middle (22-25)
70,1,Yes,Clubs,Auditory,QI04T7,Female,No,56.0,15.0,10.0,16.0,7.0,91.0,21:00,5:00,public transport,yellow,8.0,False,25.0,0.4,Large (25-31),Middle (22-25)
71,1,Yes,None,Auditory,903WGD,Male,No,76.0,11.0,6.0,16.0,3.0,93.0,22:30,6:30,private transport,black,8.0,False,17.0,0.35294117647058826,Small (14-19),Lower (14-21)
72,0,Yes,None,Auditory,OB3KOP,Male,No,79.0,13.0,7.0,15.0,6.0,91.0,22:00,6:00,private transport,black,8.0,False,20.0,0.35,Medium (20-24),Lower (14-21)
73,1,No,Clubs,Visual,V8PSZ4,Male,No,53.0,30.0,0.0,16.0,7.0,96.0,21:00,5:00,public transport,green,8.0,False,30.0,0.0,Large (25-31),Higher (26-31)
74,1,No,Clubs,Auditory,RARLB8,Male,Yes,48.0,10.0,20.0,15.0,6.0,97.0,22:00,6:00,private transport,red,8.0,False,30.0,0.6666666666666666,Large (25-31),Higher (26-31)
75,2,Yes,Sports,Visual,3PKA6K,Male,No,72.0,11.0,9.0,15.0,8.0,90.0,22:00,6:00,private transport,black,8.0,False,20.0,0.45,Medium (20-24),Lower (14-21)
76,0,Yes,Sports,Visual,9AO05A,Female,No,49.0,12.0,8.0,16.0,14.0,55.0,1:30,6:30,private transport,blue,5.0,True,20.0,0.4,Medium (20-24),Lower (14-21)
77,1,No,Arts,Auditory,7XMIUL,Male,Yes,58.0,14.0,8.0,15.0,15.0,98.0,22:30,6:30,private transport,black,8.0,False,22.0,0.36363636363636365,Medium (20-24),Middle (22-25)
78,2,No,Arts,Auditory,XFTK88,Female,Yes,76.0,20.0,1.0,15.0,8.0,92.0,22:00,6:00,private transport,white,8.0,False,21.0,0.047619047619047616,Medium (20-24),Lower (14-21)
79,2,Yes,None,Visual,E4467Q,Male,No,83.0,16.0,2.0,15.0,8.0,95.0,21:00,5:00,public transport,red,8.0,False,18.0,0.1111111111111111,Small (14-19),Lower (14-21)
80,0,No,Clubs,Visual,XY6R2B,Female,Yes,53.0,4.0,16.0,16.0,14.0,97.0,22:00,6:00,private transport,yellow,8.0,False,20.0,0.8,Medium (20-24),Lower (14-21)
81,0,No,Clubs,Auditory,ANUEDH,Male,No,57.0,24.0,3.0,,6.0,96.0,22:00,6:00,private transport,white,8.0,False,27.0,0.1111111111111111,Large (25-31),Higher (26-31)
82,0,Yes,None,Visual,7EPPQG,Female,Yes,70.0,1.0,15.0,,10.0,96.0,22:30,6:30,private transport,red,8.0,False,16.0,0.9375,Small (14-19),Lower (14-21)
83,1,No,Arts,Auditory,EAZDA8,Female,Yes,52.0,21.0,3.0,,8.0,95.0,22:00,6:00,private transport,blue,8.0,False,24.0,0.125,Medium (20-24),Middle (22-25)
84,1,No,Arts,Visual,GGSU2X,Female,No,50.0,16.0,14.0,16.0,18.0,95.0,21:30,5:30,public transport,blue,8.0,False,30.0,0.4666666666666667,Large (25-31),Higher (26-31)
85,0,No,Arts,Auditory,B6U6DY,Female,Yes,94.0,18.0,3.0,16.0,8.0,,23:00,7:00,walk,yellow,8.0,False,21.0,0.14285714285714285,Medium (20-24),Lower (14-21)
86,1,No,Sports,Auditory,W3QNOA,Female,No,48.0,7.0,18.0,15.0,14.0,92.0,23:00,7:00,walk,yellow,8.0,False,25.0,0.72,Large (25-31),Middle (22-25)
87,0,Yes,None,Visual,MB9F8E,Male,No,82.0,15.0,2.0,15.0,9.0,93.0,23:00,7:00,walk,blue,8.0,False,17.0,0.11764705882352941,Small (14-19),Lower (14-21)
88,1,Yes,Sports,Visual,Z8SK8Q,Female,Yes,67.0,8.0,13.0,15.0,7.0,,22:30,6:30,private transport,blue,8.0,False,21.0,0.6190476190476191,Medium (20-24),Lower (14-21)
89,0,No,Clubs,Auditory,JHI88P,Female,Yes,66.0,16.0,11.0,16.0,17.0,92.0,21:00,5:00,public transport,red,8.0,False,27.0,0.4074074074074074,Large (25-31),Higher (26-31)
90,0,No,None,Visual,BNX7P2,Female,Yes,89.0,16.0,7.0,15.0,7.0,,21:30,5:30,public transport,yellow,8.0,False,23.0,0.30434782608695654,Medium (20-24),Middle (22-25)
91,2,No,Arts,Auditory,EK2Z2C,Male,Yes,71.0,19.0,0.0,16.0,8.0,92.0,22:00,6:00,private transport,green,8.0,False,19.0,0.0,Small (14-19),Lower (14-21)
92,2,No,None,Visual,KIKA1F,Male,Yes,60.0,22.0,0.0,15.0,15.0,91.0,23:00,7:00,walk,white,8.0,False,22.0,0.0,Medium (20-24),Middle (22-25)
93,1,Yes,None,Visual,QCJ1S2,Female,Yes,93.0,3.0,18.0,16.0,5.0,96.0,21:30,5:30,public transport,blue,8.0,False,21.0,0.8571428571428571,Medium (20-24),Lower (14-21)
94,0,No,None,Auditory,WQCJ0U,Male,Yes,87.0,19.0,3.0,16.0,7.0,96.0,21:30,5:30,public transport,green,8.0,False,22.0,0.13636363636363635,Medium (20-24),Middle (22-25)
95,0,No,None,Auditory,0ZM2DQ,Female,No,88.0,7.0,15.0,16.0,7.0,97.0,23:00,7:00,walk,green,8.0,False,22.0,0.6818181818181818,Medium (20-24),Middle (22-25)
96,1,No,Sports,Auditory,80MAOJ,Male,Yes,63.0,18.0,4.0,15.0,13.0,100.0,23:00,7:00,walk,red,8.0,False,22.0,0.18181818181818182,Medium (20-24),Middle (22-25)
97,0,No,None,Visual,7QEG4X,Male,No,79.0,13.0,14.0,16.0,5.0,94.0,22:00,6:00,private transport,green,8.0,False,27.0,0.5185185185185185,Large (25-31),Higher (26-31)
98,1,No,Clubs,Auditory,ZP7S5I,Male,Yes,56.0,12.0,15.0,16.0,8.0,99.0,22:30,6:30,private transport,white,8.0,False,27.0,0.5555555555555556,Large (25-31),Higher (26-31)
99,0,No,None,Visual,YGJQCK,Male,Yes,94.0,20.0,3.0,15.0,9.0,95.0,22:00,6:00,private transport,blue,8.0,False,23.0,0.13043478260869565,Medium (20-24),Middle (22-25)
100,1,No,Clubs,Auditory,QM7MY8,Female,No,47.0,20.0,5.0,15.0,9.0,61.0,2:30,6:30,private transport,yellow,4.0,True,25.0,0.2,Large (25-31),Middle (22-25)
101,1,No,Sports,Auditory,0QUOS2,Female,No,54.0,3.0,27.0,15.0,15.0,93.0,21:30,5:30,public transport,white,8.0,False,30.0,0.9,Large (25-31),Higher (26-31)
102,1,No,Clubs,Auditory,AW0QXU,Female,Yes,64.0,7.0,21.0,16.0,6.0,99.0,22:00,6:00,private transport,black,8.0,False,28.0,0.75,Large (25-31),Higher (26-31)
103,2,No,Clubs,Auditory,KZ8V82,Female,Yes,51.0,15.0,3.0,15.0,6.0,95.0,23:00,7:00,walk,white,8.0,False,18.0,0.16666666666666666,Small (14-19),Lower (14-21)
104,1,No,Arts,Auditory,43SC3X,Female,No,55.0,14.0,15.0,16.0,7.0,93.0,23:00,7:00,walk,red,8.0,False,29.0,0.5172413793103449,Large (25-31),Higher (26-31)
105,1,No,Clubs,Auditory,PFK1PZ,Male,Yes,74.0,18.0,10.0,15.0,9.0,96.0,21:00,5:00,public transport,yellow,8.0,False,28.0,0.35714285714285715,Large (25-31),Higher (26-31)
106,2,No,Sports,Auditory,X1PLLZ,Female,Yes,46.0,10.0,14.0,15.0,9.0,81.0,22:30,5:30,public transport,white,7.0,False,24.0,0.5833333333333334,Medium (20-24),Middle (22-25)
107,1,No,Sports,Visual,2ZMPZA,Male,Yes,53.0,30.0,0.0,15.0,10.0,91.0,22:30,6:30,private transport,blue,8.0,False,30.0,0.0,Large (25-31),Higher (26-31)
108,0,No,None,Visual,GK3BXZ,Male,No,65.0,22.0,5.0,15.0,19.0,99.0,21:00,5:00,public transport,black,8.0,False,27.0,0.18518518518518517,Large (25-31),Higher (26-31)
109,2,No,Clubs,Auditory,XZY6BR,Female,No,52.0,15.0,4.0,16.0,15.0,95.0,23:00,7:00,walk,blue,8.0,False,19.0,0.21052631578947367,Small (14-19),Lower (14-21)
110,1,No,Sports,Visual,GFRBAF,Female,No,46.0,21.0,9.0,15.0,11.0,77.0,22:00,5:00,public transport,yellow,7.0,False,30.0,0.3,Large (25-31),Higher (26-31)
111,0,Yes,Sports,Visual,6XKV9Q,Female,No,83.0,14.0,2.0,16.0,7.0,95.0,21:00,5:00,public transport,yellow,8.0,False,16.0,0.125,Small (14-19),Lower (14-21)
112,2,No,Sports,Auditory,U9XHGZ,Female,No,46.0,7.0,16.0,15.0,4.0,52.0,0:00,5:00,public transport,black,5.0,True,23.0,0.6956521739130435,Medium (20-24),Middle (22-25)
113,1,No,Clubs,Auditory,BC79L5,Female,Yes,52.0,22.0,7.0,15.0,17.0,93.0,23:00,7:00,walk,white,8.0,False,29.0,0.2413793103448276,Large (25-31),Higher (26-31)
114,0,Yes,Clubs,Auditory,2QYBOU,Female,No,72.0,17.0,2.0,,10.0,97.0,21:30,5:30,public transport,black,8.0,False,19.0,0.10526315789473684,Small (14-19),Lower (14-21)
115,1,No,Arts,Auditory,GKO7VX,Male,Yes,66.0,18.0,10.0,15.0,14.0,97.0,21:00,5:00,public transport,green,8.0,False,28.0,0.35714285714285715,Large (25-31),Higher (26-31)
116,0,No,Sports,Auditory,ES1RUS,Female,No,69.0,3.0,18.0,15.0,18.0,99.0,21:00,5:00,public transport,yellow,8.0,False,21.0,0.8571428571428571,Medium (20-24),Lower (14-21)
117,1,Yes,None,Auditory,IM44PM,Male,Yes,78.0,18.0,3.0,16.0,9.0,95.0,22:00,6:00,private transport,green,8.0,False,21.0,0.14285714285714285,Medium (20-24),Lower (14-21)
118,0,No,None,Visual,UD6QES,Male,Yes,84.0,14.0,9.0,15.0,9.0,98.0,22:30,6:30,private transport,black,8.0,False,23.0,0.391304347826087,Medium (20-24),Middle (22-25)
119,1,No,Arts,Auditory,3AVEIW,Female,No,63.0,0.0,27.0,15.0,18.0,93.0,22:30,6:30,private transport,white,8.0,False,27.0,1.0,Large (25-31),Higher (26-31)
120,0,No,Sports,Visual,WCO3PY,Female,No,73.0,5.0,23.0,16.0,18.0,99.0,21:00,5:00,public transport,blue,8.0,False,28.0,0.8214285714285714,Large (25-31),Higher (26-31)
121,0,Yes,None,Visual,DGJLSD,Male,Yes,85.0,15.0,1.0,16.0,9.0,96.0,22:00,6:00,private transport,yellow,8.0,False,16.0,0.0625,Small (14-19),Lower (14-21)
122,1,No,Arts,Auditory,ED45O1,Female,Yes,71.0,21.0,1.0,16.0,9.0,97.0,22:30,6:30,private transport,green,8.0,False,22.0,0.045454545454545456,Medium (20-24),Middle (22-25)
123,1,No,Sports,Visual,SCL5U1,Female,Yes,46.0,1.0,29.0,15.0,13.0,90.0,22:00,6:00,private transport,red,8.0,False,30.0,0.9666666666666667,Large (25-31),Higher (26-31)
124,2,No,Sports,Auditory,7N3MXK,Female,Yes,62.0,10.0,12.0,16.0,9.0,92.0,22:30,6:30,private transport,green,8.0,False,22.0,0.5454545454545454,Medium (20-24),Middle (22-25)
125,2,No,Sports,Auditory,5Z0IOP,Female,Yes,76.0,11.0,10.0,16.0,10.0,94.0,23:00,7:00,walk,black,8.0,False,21.0,0.47619047619047616,Medium (20-24),Lower (14-21)
126,1,No,Sports,Visual,9BZOHI,Male,Yes,65.0,12.0,16.0,16.0,19.0,94.0,22:30,6:30,private transport,green,8.0,False,28.0,0.5714285714285714,Large (25-31),Higher (26-31)
127,1,Yes,None,Visual,AUPAC8,Male,Yes,91.0,14.0,7.0,16.0,9.0,91.0,0:00,7:00,walk,yellow,7.0,False,21.0,0.3333333333333333,Medium (20-24),Lower (14-21)
128,1,No,Sports,Auditory,8PXI3E,Male,No,38.0,19.0,9.0,16.0,3.0,51.0,1:00,6:00,private transport,yellow,5.0,True,28.0,0.32142857142857145,Large (25-31),Higher (26-31)
129,0,No,Sports,Visual,6F1PTH,Male,Yes,96.0,12.0,11.0,15.0,8.0,98.0,22:00,6:00,private transport,yellow,8.0,False,23.0,0.4782608695652174,Medium (20-24),Middle (22-25)
130,0,No,Clubs,Auditory,BSZMBK,Male,Yes,93.0,21.0,4.0,16.0,6.0,91.0,21:30,5:30,public transport,red,8.0,False,25.0,0.16,Large (25-31),Middle (22-25)
131,2,No,Sports,Auditory,FI521J,Female,Yes,55.0,1.0,17.0,16.0,12.0,92.0,21:30,5:30,public transport,green,8.0,False,18.0,0.9444444444444444,Small (14-19),Lower (14-21)
132,1,No,Sports,Auditory,190KM7,Male,Yes,58.0,19.0,3.0,16.0,17.0,94.0,22:00,6:00,private transport,white,8.0,False,22.0,0.13636363636363635,Medium (20-24),Middle (22-25)
133,1,No,Sports,Auditory,2OS39W,Female,Yes,64.0,16.0,11.0,15.0,10.0,92.0,21:30,5:30,public transport,green,8.0,False,27.0,0.4074074074074074,Large (25-31),Higher (26-31)
134,0,No,Sports,Auditory,0MKJET,Female,No,65.0,11.0,10.0,15.0,14.0,95.0,22:30,6:30,private transport,black,8.0,False,21.0,0.47619047619047616,Medium (20-24),Lower (14-21)
135,0,No,Clubs,Visual,XACBU2,Male,Yes,89.0,14.0,8.0,15.0,7.0,99.0,21:30,5:30,public transport,yellow,8.0,False,22.0,0.36363636363636365,Medium (20-24),Middle (22-25)
136,0,No,Clubs,Visual,QB177D,Female,No,55.0,9.0,13.0,16.0,13.0,98.0,22:00,6:00,private transport,green,8.0,False,22.0,0.5909090909090909,Medium (20-24),Middle (22-25)
