n_female,n_male,class_size,student_count
11.0,13.0,24.0,37
12.0,12.0,24.0,63
13.0,11.0,24.0,56
14.0,10.0,24.0,53
15.0,9.0,24.0,20
16.0,8.0,24.0,15
17.0,7.0,24.0,23
18.0,6.0,24.0,23
19.0,5.0,24.0,21
20.0,4.0,24.0,19
21.0,3.0,24.0,14
22.0,2.0,24.0,13
23.0,1.0,24.0,27
24.0,0.0,24.0,29
0.0,25.0,25.0,40
1.0,24.0,25.0,39
2.0,23.0,25.0,50
3.0,22.0,25.0,54
4.0,21.0,25.0,51
5.0,20.0,25.0,40
6.0,19.0,25.0,38
7.0,18.0,25.0,37
8.0,17.0,25.0,54
9.0,16.0,25.0,45
10.0,15.0,25.0,47
11.0,14.0,25.0,48
12.0,13.0,25.0,50
13.0,12.0,25.0,44
14.0,11.0,25.0,34
15.0,10.0,25.0,40
16.0,9.0,25.0,19
17.0,8.0,25.0,20
18.0,7.0,25.0,22
19.0,6.0,25.0,18
20.0,5.0,25.0,18
21.0,4.0,25.0,17
22.0,3.0,25.0,25
23.0,2.0,25.0,13
24.0,1.0,25.0,15
25.0,0.0,25.0,19
0.0,26.0,26.0,6
1.0,25.0,26.0,8
2.0,24.0,26.0,11
3.0,23.0,26.0,4
4.0,22.0,26.0,6
5.0,21.0,26.0,10
6.0,20.0,26.0,9
7.0,19.0,26.0,11
8.0,18.0,26.0,13
9.0,17.0,26.0,11
10.0,16.0,26.0,8
11.0,15.0,26.0,12
12.0,14.0,26.0,17
13.0,13.0,26.0,7
14.0,12.0,26.0,10
15.0,11.0,26.0,15
16.0,10.0,26.0,5
17.0,9.0,26.0,1
18.0,8.0,26.0,4
19.0,7.0,26.0,5
20.0,6.0,26.0,5
22.0,4.0,26.0,3
23.0,3.0,26.0,6
24.0,2.0,26.0,2
25.0,1.0,26.0,4
26.0,0.0,26.0,4
0.0,27.0,27.0,45
1.0,26.0,27.0,61
2.0,25.0,27.0,68
3.0,24.0,27.0,60
4.0,23.0,27.0,59
5.0,22.0,27.0,59
6.0,21.0,27.0,53
7.0,20.0,27.0,56
8.0,19.0,27.0,54
9.0,18.0,27.0,63
10.0,17.0,27.0,59
11.0,16.0,27.0,71
12.0,15.0,27.0,58
13.0,14.0,27.0,57
14.0,13.0,27.0,59
15.0,12.0,27.0,62
16.0,11.0,27.0,67
17.0,10.0,27.0,62
18.0,9.0,27.0,21
19.0,8.0,27.0,30
20.0,7.0,27.0,28
21.0,6.0,27.0,31
22.0,5.0,27.0,32
23.0,4.0,27.0,24
24.0,3.0,27.0,28
25.0,2.0,27.0,21
26.0,1.0,27.0,25
27.0,0.0,27.0,27
0.0,28.0,28.0,49
1.0,27.0,28.0,45
2.0,26.0,28.0,60
3.0,25.0,28.0,40
4.0,24.0,28.0,52
5.0,23.0,28.0,46
6.0,22.0,28.0,39
7.0,21.0,28.0,54
8.0,20.0,28.0,50
9.0,19.0,28.0,57
10.0,18.0,28.0,56
11.0,17.0,28.0,48
12.0,16.0,28.0,53
13.0,15.0,28.0,46
14.0,14.0,28.0,48
15.0,13.0,28.0,46
16.0,12.0,28.0,58
17.0,11.0,28.0,47
18.0,10.0,28.0,49
19.0,9.0,28.0,21
20.0,8.0,28.0,21
21.0,7.0,28.0,19
22.0,6.0,28.0,19
23.0,5.0,28.0,17
24.0,4.0,28.0,21
25.0,3.0,28.0,23
26.0,2.0,28.0,16
27.0,1.0,28.0,15
28.0,0.0,28.0,23
0.0,29.0,29.0,13
1.0,28.0,29.0,7
2.0,27.0,29.0,8
3.0,26.0,29.0,3
4.0,25.0,29.0,9
5.0,24.0,29.0,6
6.0,23.0,29.0,8
7.0,22.0,29.0,9
8.0,21.0,29.0,6
9.0,20.0,29.0,5
10.0,19.0,29.0,8
11.0,18.0,29.0,7
12.0,17.0,29.0,6
13.0,16.0,29.0,5
14.0,15.0,29.0,6
15.0,14.0,29.0,6
16.0,13.0,29.0,8
17.0,12.0,29.0,8
18.0,11.0,29.0,7
19.0,10.0,29.0,7
20.0,9.0,29.0,8
21.0,8.0,29.0,6
22.0,7.0,29.0,2
23.0,6.0,29.0,4
24.0,5.0,29.0,4
25.0,4.0,29.0,3
26.0,3.0,29.0,9
27.0,2.0,29.0,4
28.0,1.0,29.0,7
29.0,0.0,29.0,5
0.0,30.0,30.0,39
1.0,29.0,30.0,50
2.0,28.0,30.0,28
3.0,27.0,30.0,35
4.0,26.0,30.0,38
5.0,25.0,30.0,50
6.0,24.0,30.0,31
7.0,23.0,30.0,44
8.0,22.0,30.0,39
9.0,21.0,30.0,42
10.0,20.0,30.0,38
11.0,19.0,30.0,56
12.0,18.0,30.0,47
13.0,17.0,30.0,42
14.0,16.0,30.0,41
15.0,15.0,30.0,49
16.0,14.0,30.0,42
17.0,13.0,30.0,41
18.0,12.0,30.0,33
19.0,11.0,30.0,46
20.0,10.0,30.0,32
21.0,9.0,30.0,19
22.0,8.0,30.0,25
23.0,7.0,30.0,17
24.0,6.0,30.0,12
25.0,5.0,30.0,21
26.0,4.0,30.0,19
27.0,3.0,30.0,19
28.0,2.0,30.0,13
29.0,1.0,30.0,25
30.0,0.0,30.0,27
0.0,31.0,31.0,4
1.0,30.0,31.0,10
2.0,29.0,31.0,6
3.0,28.0,31.0,10
4.0,27.0,31.0,8
5.0,26.0,31.0,10
6.0,25.0,31.0,10
7.0,24.0,31.0,8
8.0,23.0,31.0,10
9.0,22.0,31.0,10
10.0,21.0,31.0,8
11.0,20.0,31.0,9
12.0,19.0,31.0,10
13.0,18.0,31.0,13
14.0,17.0,31.0,14
15.0,16.0,31.0,8
16.0,15.0,31.0,4
17.0,14.0,31.0,7
18.0,13.0,31.0,6
19.0,12.0,31.0,10
20.0,11.0,31.0,9
21.0,10.0,31.0,6
22.0,9.0,31.0,4
23.0,8.0,31.0,6
24.0,7.0,31.0,3
25.0,6.0,31.0,3
26.0,5.0,31.0,1
27.0,4.0,31.0,4
28.0,3.0,31.0,5
29.0,2.0,31.0,4
30.0,1.0,31.0,3
31.0,0.0,31.0,2
